metric,H1,H2,absolute_change,pct_change
Revenue,5859664.186707043,4991222.977386901,-868441.2093201419,-0.1482066517208011
Units,96230.0,142680.0,46450.0,0.48269770341889223
ASP,91.0227475796511,60.862522877507445,-30.16022470214365,-0.33134821244273477
Cost,3093930.6630582814,2872980.114969235,-220950.5480890465,-0.07141418866531477
Profit,2765733.5236487617,2118242.8624176662,-647490.6612310954,-0.2341117304666711
Margin,0.4668073919042551,0.4317085944293879,-0.03509879747486716,-0.07518903531430396
Discount,0.10110750470086602,0.26237764985763257,0.16127014515676655,1.595036349021728
